date,visitors,page_views,add_to_cart,checkout_started,purchases,visitor_to_pageview_rate,pageview_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,overall_conversion_rate
2023-01-31,392506,863378,39330,29593,24328,2.1996555466668024,0.04555362772736855,0.7524281718789728,0.8220863041935593,0.06198121812150642
2023-02-28,351960,789157,35351,26550,21654,2.2421780884191387,0.04479590246300799,0.7510395745523465,0.8155932203389831,0.06152403682236618
2023-03-31,395121,893470,39598,29645,24194,2.2612566783339787,0.0443193392055693,0.7486489216627102,0.8161241356046551,0.06123187580513311
2023-04-30,377540,843123,37015,27855,23091,2.233201779943847,0.04390225388229238,0.7525327569904093,0.8289714593430264,0.061161731207289294
2023-05-31,389996,885946,40000,30119,24635,2.2716797095354826,0.04514947863639544,0.752975,0.8179222417742953,0.06316731453655935
2023-06-30,376143,851001,37652,28143,23046,2.2624400826281494,0.04424436634034508,0.747450334643578,0.8188892442170345,0.061269251321970634
2023-07-31,372525,822779,37043,27404,22302,2.208654452721294,0.04502181023093686,0.7397888939880679,0.8138227995913005,0.059867123011878395
2023-08-31,352572,782786,35575,26363,21494,2.2202160126158628,0.04544664825380117,0.7410541110330288,0.815309335052915,0.06096343441906901
2023-09-30,364066,827252,36404,27063,22404,2.2722583267869014,0.04400593773118711,0.7434073178771563,0.82784613679193,0.0615382925074025
2023-10-31,380379,856961,38365,28583,23393,2.2529135414941415,0.04476866508510889,0.7450280203310309,0.818423538466921,0.06149918896679365
2023-11-30,376749,837242,37771,28223,23240,2.222280616537801,0.045113599174432244,0.7472134706520875,0.8234418736491514,0.06168563154779442
2023-12-31,378350,857005,38040,28248,23358,2.2651116690894675,0.044387138931511486,0.7425867507886436,0.8268903993203058,0.0617364873794106
2024-01-31,390605,902005,37491,28110,22789,2.309251033652923,0.041564071152598935,0.749779947187325,0.8107079331198862,0.05834282715275022
2024-02-29,348591,779775,35557,26320,21791,2.236933827895729,0.04559905100830368,0.7402199285654021,0.8279255319148936,0.06251165405876802
2024-03-31,366584,810288,36778,27785,22825,2.210374702660236,0.04538880003159371,0.7554788188591005,0.8214864135324815,0.062264037710320144
2024-04-30,367852,819329,36945,27740,22927,2.227333275338995,0.04509177631940283,0.7508458519420761,0.8264960346070656,0.06232669660624381
2024-05-31,385340,889994,39022,28906,23514,2.309633051331292,0.043845239406108356,0.740761621649326,0.8134643326644987,0.061021435615300774
2024-06-30,358586,815355,35654,26339,21505,2.2738060046962234,0.04372819201452128,0.7387389914175128,0.8164698735715099,0.05997166649004702
2024-07-31,385100,860000,38133,28521,23365,2.233186185406388,0.0443406976744186,0.7479348595704508,0.8192209249325059,0.06067255258374448
2024-08-31,390293,879208,38021,28335,23357,2.2526870838062685,0.04324460195994577,0.7452460482365009,0.8243162166931357,0.05984478327820381
2024-09-30,372590,848089,36345,27202,22287,2.2761990391583242,0.04285517203972696,0.7484385747695694,0.8193147562679215,0.05981642019377868
2024-10-31,383929,849342,39066,29089,23744,2.212237158432939,0.045995606010299735,0.7446116827932218,0.8162535666403108,0.061844768173282036
2024-11-30,359984,813187,36285,27151,22158,2.2589531756966976,0.044620732992534315,0.7482706352487254,0.8161025376597547,0.06155273567714121
2024-12-31,400324,885770,39261,29491,24084,2.212632767458359,0.044324147352021406,0.7511525432362904,0.8166559289274694,0.06016126937180884
